locus_tag,Accession,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length
ASAN02232_LOCUS50,A0A7S2VX88,A0A7S2VX88_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS50,Akashiwo sanguinea,102
ASAN02232_LOCUS51,A0A7S2VX07,A0A7S2VX07_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS51,Akashiwo sanguinea,144
ASAN02232_LOCUS52,A0A7S2QWG8,A0A7S2QWG8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS52,Akashiwo sanguinea,100
ASAN02232_LOCUS53,A0A7S2QWJ7,A0A7S2QWJ7_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS53,Akashiwo sanguinea,103
ASAN02232_LOCUS54,A0A7S2QXP1,A0A7S2QXP1_9DINO,unreviewed,Plasma membrane H+-ATPase,ASAN02232_LOCUS54,Akashiwo sanguinea,250
ASAN02232_LOCUS55,A0A7S2QWS4,A0A7S2QWS4_9DINO,unreviewed,Plasma membrane ATPase,ASAN02232_LOCUS55,Akashiwo sanguinea,399
ASAN02232_LOCUS56,A0A7S2QWM3,A0A7S2QWM3_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS56,Akashiwo sanguinea,142
ASAN02232_LOCUS60,A0A7S2QWM0,A0A7S2QWM0_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS60,Akashiwo sanguinea,101
ASAN02232_LOCUS64,A0A7S2QWY9,A0A7S2QWY9_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS64,Akashiwo sanguinea,135
ASAN02232_LOCUS65,A0A7S2QWH3,A0A7S2QWH3_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS65,Akashiwo sanguinea,115
ASAN02232_LOCUS66,A0A7S2QWG9,A0A7S2QWG9_9DINO,unreviewed,V-ATPase proteolipid subunit C-like domain-containing protein,ASAN02232_LOCUS66,Akashiwo sanguinea,110
ASAN02232_LOCUS67,A0A7S2QWJ4,A0A7S2QWJ4_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS67,Akashiwo sanguinea,103
ASAN02232_LOCUS68,A0A7S2VWR5,A0A7S2VWR5_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS68,Akashiwo sanguinea,111
ASAN02232_LOCUS69,A0A7S2VWV9,A0A7S2VWV9_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS69,Akashiwo sanguinea,100
ASAN02232_LOCUS70,A0A7S2VW99,A0A7S2VW99_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS70,Akashiwo sanguinea,114
ASAN02232_LOCUS71,A0A7S2VX93,A0A7S2VX93_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS71,Akashiwo sanguinea,103
ASAN02232_LOCUS73,A0A7S2VX12,A0A7S2VX12_9DINO,unreviewed,H(+)-exporting diphosphatase (EC 7.1.3.1),ASAN02232_LOCUS73,Akashiwo sanguinea,163
ASAN02232_LOCUS74,A0A7S2QWH8,A0A7S2QWH8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS74,Akashiwo sanguinea,106
ASAN02232_LOCUS75,A0A7S2QWK3,A0A7S2QWK3_9DINO,unreviewed,60S ribosomal protein L29,ASAN02232_LOCUS75 ASAN02232_LOCUS76,Akashiwo sanguinea,110
ASAN02232_LOCUS76,A0A7S2QWK3,A0A7S2QWK3_9DINO,unreviewed,60S ribosomal protein L29,ASAN02232_LOCUS75 ASAN02232_LOCUS76,Akashiwo sanguinea,110
ASAN02232_LOCUS77,A0A7S2QWZ8,A0A7S2QWZ8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS77 ASAN02232_LOCUS78 ASAN02232_LOCUS79 ASAN02232_LOCUS80,Akashiwo sanguinea,102
ASAN02232_LOCUS78,A0A7S2QWZ8,A0A7S2QWZ8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS77 ASAN02232_LOCUS78 ASAN02232_LOCUS79 ASAN02232_LOCUS80,Akashiwo sanguinea,102
ASAN02232_LOCUS79,A0A7S2QWZ8,A0A7S2QWZ8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS77 ASAN02232_LOCUS78 ASAN02232_LOCUS79 ASAN02232_LOCUS80,Akashiwo sanguinea,102
ASAN02232_LOCUS80,A0A7S2QWZ8,A0A7S2QWZ8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS77 ASAN02232_LOCUS78 ASAN02232_LOCUS79 ASAN02232_LOCUS80,Akashiwo sanguinea,102
ASAN02232_LOCUS81,A0A7S2QWI2,A0A7S2QWI2_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS81,Akashiwo sanguinea,109
ASAN02232_LOCUS82,A0A7S2QWI0,A0A7S2QWI0_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS82,Akashiwo sanguinea,125
ASAN02232_LOCUS83,A0A7S2QWK7,A0A7S2QWK7_9DINO,unreviewed,ABC transporter domain-containing protein,ASAN02232_LOCUS83,Akashiwo sanguinea,433
ASAN02232_LOCUS84,A0A7S2VWS0,A0A7S2VWS0_9DINO,unreviewed,ABC transporter domain-containing protein,ASAN02232_LOCUS84,Akashiwo sanguinea,679
ASAN02232_LOCUS85,A0A7S2VWW3,A0A7S2VWW3_9DINO,unreviewed,ABC transporter domain-containing protein,ASAN02232_LOCUS85,Akashiwo sanguinea,511
ASAN02232_LOCUS87,A0A7S2VWA4,A0A7S2VWA4_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS87,Akashiwo sanguinea,133
ASAN02232_LOCUS88,A0A7S2VX97,A0A7S2VX97_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS88,Akashiwo sanguinea,135
ASAN02232_LOCUS91,A0A7S2VX17,A0A7S2VX17_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS91,Akashiwo sanguinea,187
ASAN02232_LOCUS92,A0A7S2QWI8,A0A7S2QWI8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS92,Akashiwo sanguinea,108
ASAN02232_LOCUS94,A0A7S2QXR2,A0A7S2QXR2_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS94 ASAN02232_LOCUS95,Akashiwo sanguinea,99
ASAN02232_LOCUS95,A0A7S2QXR2,A0A7S2QXR2_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS94 ASAN02232_LOCUS95,Akashiwo sanguinea,99
ASAN02232_LOCUS98,A0A7S2QWU0,A0A7S2QWU0_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS98,Akashiwo sanguinea,109
ASAN02232_LOCUS99,A0A7S2QWP2,A0A7S2QWP2_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS99,Akashiwo sanguinea,106
ASAN02232_LOCUS100,A0A7S2QWP1,A0A7S2QWP1_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS100,Akashiwo sanguinea,101
ASAN02232_LOCUS104,A0A7S2QX06,A0A7S2QX06_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS104,Akashiwo sanguinea,114
ASAN02232_LOCUS105,A0A7S2QWJ5,A0A7S2QWJ5_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS105,Akashiwo sanguinea,99
ASAN02232_LOCUS106,A0A7S2QWJ2,A0A7S2QWJ2_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS106,Akashiwo sanguinea,168
ASAN02232_LOCUS107,A0A7S2QWL5,A0A7S2QWL5_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS107,Akashiwo sanguinea,109
ASAN02232_LOCUS109,A0A7S2VWS6,A0A7S2VWS6_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS109,Akashiwo sanguinea,102
ASAN02232_LOCUS110,A0A7S2VWW8,A0A7S2VWW8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS110,Akashiwo sanguinea,105
ASAN02232_LOCUS111,A0A7S2VWB3,A0A7S2VWB3_9DINO,unreviewed,Vomeronasal type-1 receptor,ASAN02232_LOCUS111,Akashiwo sanguinea,132
ASAN02232_LOCUS112,A0A7S2VXA2,A0A7S2VXA2_9DINO,unreviewed,Vomeronasal type-1 receptor,ASAN02232_LOCUS112,Akashiwo sanguinea,138
ASAN02232_LOCUS113,A0A7S2VX23,A0A7S2VX23_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS113,Akashiwo sanguinea,119
ASAN02232_LOCUS114,A0A7S2QWJ9,A0A7S2QWJ9_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS114,Akashiwo sanguinea,119
ASAN02232_LOCUS122,A0A7S2QWM4,A0A7S2QWM4_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS122,Akashiwo sanguinea,137
ASAN02232_LOCUS123,A0A7S2QXS3,A0A7S2QXS3_9DINO,unreviewed,AP2/ERF domain-containing protein,ASAN02232_LOCUS123,Akashiwo sanguinea,245
ASAN02232_LOCUS124,A0A7S2QWV3,A0A7S2QWV3_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS124,Akashiwo sanguinea,141
ASAN02232_LOCUS125,A0A7S2QWQ3,A0A7S2QWQ3_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS125,Akashiwo sanguinea,109
ASAN02232_LOCUS127,A0A7S2QWQ5,A0A7S2QWQ5_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS127,Akashiwo sanguinea,122
ASAN02232_LOCUS129,A0A7S2QX16,A0A7S2QX16_9DINO,unreviewed,H(+)-exporting diphosphatase (EC 7.1.3.1),ASAN02232_LOCUS129,Akashiwo sanguinea,103
ASAN02232_LOCUS130,A0A7S2QWK6,A0A7S2QWK6_9DINO,unreviewed,Ribosomal protein,ASAN02232_LOCUS130,Akashiwo sanguinea,111
ASAN02232_LOCUS131,A0A7S2QWK5,A0A7S2QWK5_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS131,Akashiwo sanguinea,120
ASAN02232_LOCUS132,A0A7S2QWM5,A0A7S2QWM5_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS132,Akashiwo sanguinea,108
ASAN02232_LOCUS135,A0A7S2VWT3,A0A7S2VWT3_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS135,Akashiwo sanguinea,103
ASAN02232_LOCUS138,A0A7S2VWX4,A0A7S2VWX4_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS138,Akashiwo sanguinea,94
ASAN02232_LOCUS139,A0A7S2VWB9,A0A7S2VWB9_9DINO,unreviewed,Amino acid transporter transmembrane domain-containing protein,ASAN02232_LOCUS139,Akashiwo sanguinea,124
ASAN02232_LOCUS140,A0A7S2VXA7,A0A7S2VXA7_9DINO,unreviewed,Cathepsin propeptide inhibitor domain-containing protein,ASAN02232_LOCUS140,Akashiwo sanguinea,119
ASAN02232_LOCUS142,A0A7S2VX28,A0A7S2VX28_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS142,Akashiwo sanguinea,98
ASAN02232_LOCUS145,A0A7S2QWK8,A0A7S2QWK8_9DINO,unreviewed,GTP-eEF1A C-terminal domain-containing protein,ASAN02232_LOCUS145,Akashiwo sanguinea,127
ASAN02232_LOCUS149,A0A7S2QWN5,A0A7S2QWN5_9DINO,unreviewed,EF-hand domain-containing protein,ASAN02232_LOCUS149 ASAN02232_LOCUS150,Akashiwo sanguinea,112
ASAN02232_LOCUS150,A0A7S2QWN5,A0A7S2QWN5_9DINO,unreviewed,EF-hand domain-containing protein,ASAN02232_LOCUS149 ASAN02232_LOCUS150,Akashiwo sanguinea,112
ASAN02232_LOCUS151,A0A7S2QWW4,A0A7S2QWW4_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS151,Akashiwo sanguinea,145
ASAN02232_LOCUS154,A0A7S2QWR7,A0A7S2QWR7_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS154,Akashiwo sanguinea,120
ASAN02232_LOCUS161,A0A7S2QWR6,A0A7S2QWR6_9DINO,unreviewed,Natural killer-tumor recognition protein,ASAN02232_LOCUS161,Akashiwo sanguinea,144
ASAN02232_LOCUS162,A0A7S2QX22,A0A7S2QX22_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS162,Akashiwo sanguinea,102
ASAN02232_LOCUS163,A0A7S2QWL8,A0A7S2QWL8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS163,Akashiwo sanguinea,102
ASAN02232_LOCUS164,A0A7S2QWL6,A0A7S2QWL6_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS164,Akashiwo sanguinea,116
ASAN02232_LOCUS165,A0A7S2QWN4,A0A7S2QWN4_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS165,Akashiwo sanguinea,109
ASAN02232_LOCUS166,A0A7S2VWU2,A0A7S2VWU2_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS166,Akashiwo sanguinea,109
ASAN02232_LOCUS168,A0A7S2VWX9,A0A7S2VWX9_9DINO,unreviewed,Phosphoribosylglycinamide synthetase ATP-grasp (A) domain-containing protein,ASAN02232_LOCUS168,Akashiwo sanguinea,168
ASAN02232_LOCUS175,A0A7S2VWC4,A0A7S2VWC4_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS175,Akashiwo sanguinea,112
ASAN02232_LOCUS176,A0A7S2VXB4,A0A7S2VXB4_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS176,Akashiwo sanguinea,116
ASAN02232_LOCUS179,A0A7S2VX33,A0A7S2VX33_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS179,Akashiwo sanguinea,104
ASAN02232_LOCUS183,A0A7S2QWL7,A0A7S2QWL7_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS183,Akashiwo sanguinea,132
ASAN02232_LOCUS185,A0A7S2QWP3,A0A7S2QWP3_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS185,Akashiwo sanguinea,117
ASAN02232_LOCUS186,A0A7S2QXU9,A0A7S2QXU9_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS186,Akashiwo sanguinea,120
ASAN02232_LOCUS187,A0A7S2QWW9,A0A7S2QWW9_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS187,Akashiwo sanguinea,135
ASAN02232_LOCUS188,A0A7S2QWS7,A0A7S2QWS7_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS188,Akashiwo sanguinea,101
ASAN02232_LOCUS189,A0A7S2QWR8,A0A7S2QWR8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS189,Akashiwo sanguinea,116
ASAN02232_LOCUS192,A0A7S2QX32,A0A7S2QX32_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS192,Akashiwo sanguinea,112
ASAN02232_LOCUS193,A0A7S2QWM8,A0A7S2QWM8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS193,Akashiwo sanguinea,113
ASAN02232_LOCUS194,A0A7S2QWM6,A0A7S2QWM6_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS194,Akashiwo sanguinea,118
ASAN02232_LOCUS196,A0A7S2QWP4,A0A7S2QWP4_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS196,Akashiwo sanguinea,119
ASAN02232_LOCUS200,A0A7S2VWU7,A0A7S2VWU7_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS200,Akashiwo sanguinea,189
ASAN02232_LOCUS201,A0A7S2VXB9,A0A7S2VXB9_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS201 ASAN02232_LOCUS203,Akashiwo sanguinea,100
ASAN02232_LOCUS202,A0A7S2VWD2,A0A7S2VWD2_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS202,Akashiwo sanguinea,100
ASAN02232_LOCUS203,A0A7S2VXB9,A0A7S2VXB9_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS201 ASAN02232_LOCUS203,Akashiwo sanguinea,100
ASAN02232_LOCUS204,A0A7S2VX38,A0A7S2VX38_9DINO,unreviewed,Transposase,ASAN02232_LOCUS204,Akashiwo sanguinea,115
ASAN02232_LOCUS205,A0A7S2QWM7,A0A7S2QWM7_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS205,Akashiwo sanguinea,120
ASAN02232_LOCUS208,A0A7S2QWP9,A0A7S2QWP9_9DINO,unreviewed,Rhodopsin,ASAN02232_LOCUS208,Akashiwo sanguinea,166
ASAN02232_LOCUS209,A0A7S2QXV9,A0A7S2QXV9_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS209,Akashiwo sanguinea,121
ASAN02232_LOCUS210,A0A7S2QWY1,A0A7S2QWY1_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS210,Akashiwo sanguinea,120
ASAN02232_LOCUS211,A0A7S2QWT6,A0A7S2QWT6_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS211,Akashiwo sanguinea,120
ASAN02232_LOCUS212,A0A7S2QWT3,A0A7S2QWT3_9DINO,unreviewed,AMP-dependent synthetase/ligase domain-containing protein,ASAN02232_LOCUS212,Akashiwo sanguinea,108
ASAN02232_LOCUS215,A0A7S2QX41,A0A7S2QX41_9DINO,unreviewed,Longin domain-containing protein,ASAN02232_LOCUS215,Akashiwo sanguinea,103
ASAN02232_LOCUS216,A0A7S2QWN9,A0A7S2QWN9_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS216,Akashiwo sanguinea,100
ASAN02232_LOCUS218,A0A7S2QWN7,A0A7S2QWN7_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS218,Akashiwo sanguinea,126
ASAN02232_LOCUS219,A0A7S2QWQ6,A0A7S2QWQ6_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS219,Akashiwo sanguinea,143
ASAN02232_LOCUS224,A0A7S2VWV1,A0A7S2VWV1_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS224,Akashiwo sanguinea,120
ASAN02232_LOCUS228,A0A7S2VWZ0,A0A7S2VWZ0_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS228,Akashiwo sanguinea,192
ASAN02232_LOCUS229,A0A7S2VWD7,A0A7S2VWD7_9DINO,unreviewed,Cation-transporting P-type ATPase C-terminal domain-containing protein,ASAN02232_LOCUS229,Akashiwo sanguinea,147
ASAN02232_LOCUS230,A0A7S2VXC5,A0A7S2VXC5_9DINO,unreviewed,Calreticulin,ASAN02232_LOCUS230,Akashiwo sanguinea,127
ASAN02232_LOCUS231,A0A7S2VX43,A0A7S2VX43_9DINO,unreviewed,Calreticulin,ASAN02232_LOCUS231,Akashiwo sanguinea,127
ASAN02232_LOCUS232,A0A7S2QWN6,A0A7S2QWN6_9DINO,unreviewed,TCTP domain-containing protein,ASAN02232_LOCUS232,Akashiwo sanguinea,112
ASAN02232_LOCUS233,A0A7S2QWR3,A0A7S2QWR3_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS233,Akashiwo sanguinea,108
ASAN02232_LOCUS234,A0A7S2QXX1,A0A7S2QXX1_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS234,Akashiwo sanguinea,215
ASAN02232_LOCUS235,A0A7S2QWY8,A0A7S2QWY8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS235,Akashiwo sanguinea,110
ASAN02232_LOCUS239,A0A7S2QWU7,A0A7S2QWU7_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS239,Akashiwo sanguinea,120
ASAN02232_LOCUS242,A0A7S2QWU6,A0A7S2QWU6_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS242,Akashiwo sanguinea,105
ASAN02232_LOCUS243,A0A7S2QX52,A0A7S2QX52_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS243,Akashiwo sanguinea,100
ASAN02232_LOCUS244,A0A7S2QWP8,A0A7S2QWP8_9DINO,unreviewed,ACB domain-containing protein,ASAN02232_LOCUS244,Akashiwo sanguinea,121
ASAN02232_LOCUS245,A0A7S2QWP7,A0A7S2QWP7_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS245,Akashiwo sanguinea,117
ASAN02232_LOCUS246,A0A7S2QWR2,A0A7S2QWR2_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS246,Akashiwo sanguinea,107
ASAN02232_LOCUS247,A0A7S2VWV7,A0A7S2VWV7_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS247,Akashiwo sanguinea,106
ASAN02232_LOCUS252,A0A7S2VWE3,A0A7S2VWE3_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS252,Akashiwo sanguinea,99
ASAN02232_LOCUS253,A0A7S2VX49,A0A7S2VX49_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS253,Akashiwo sanguinea,121
ASAN02232_LOCUS254,A0A7S2QWP6,A0A7S2QWP6_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS254,Akashiwo sanguinea,211
ASAN02232_LOCUS255,A0A7S2QWR9,A0A7S2QWR9_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS255,Akashiwo sanguinea,118
ASAN02232_LOCUS256,A0A7S2QX61,A0A7S2QX61_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS256,Akashiwo sanguinea,101
ASAN02232_LOCUS257,A0A7S2QWS5,A0A7S2QWS5_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS257,Akashiwo sanguinea,104
ASAN02232_LOCUS258,A0A7S2VWF1,A0A7S2VWF1_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS258,Akashiwo sanguinea,212
ASAN02232_LOCUS259,A0A7S2VX54,A0A7S2VX54_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS259,Akashiwo sanguinea,148
ASAN02232_LOCUS260,A0A7S2QWQ2,A0A7S2QWQ2_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS260,Akashiwo sanguinea,113
ASAN02232_LOCUS261,A0A7S2QX07,A0A7S2QX07_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS261,Akashiwo sanguinea,155
